nim,kode_mk,nilai_angka,nilai_huruf,semester
2210001,SD1202,65,B,1
2210001,SD1201,55,B,5
2210001,SI1201,78,D,3
2210002,SD1102,83,E,2
2210002,IF1101,69,E,2
2210002,SI1101,66,C,6
2210003,SD2201,85,C,1
2210003,SI1201,48,A,4
2210003,IF1201,69,A,5
2210004,SD2301,64,C,6
2210004,SD1201,48,D,2
2210004,SI1201,90,C,3
2210005,SD1102,87,C,4
2210005,SD1101,57,A,2
2210005,SI1201,99,C,4
2210006,IF1101,69,E,2
2210006,SD2301,71,C,3
2210006,SD1101,71,E,5
2210007,SD2101,93,C,3
2210007,IF1101,84,B,2
2210007,SI1101,58,A,6
2210008,SD2401,50,E,4
2210008,SI1101,66,C,5
2210008,SI1201,100,C,4
2210009,IF1101,82,C,3
2210009,SD1201,92,C,5
2210009,SD2401,59,C,1
2210010,SD2201,85,C,5
2210010,SD1202,70,B,3
2210010,IF1201,81,D,5
2210011,IF1201,73,A,5
2210011,SI1201,84,B,4
2210011,SD1101,69,A,6
2210012,IF1101,73,D,2
2210012,SD2201,67,D,3
2210012,SD1101,41,A,5
2210013,SI1201,,D,5
2210013,IF1201,84,D,4
2210013,SD1202,55,D,6
2210014,IF1101,80,D,5
2210014,SD2401,73,C,5
2210014,SI1201,70,A,2
2210015,SD1101,50,E,5
2210015,SD2401,84,D,2
2210015,IF1201,79,C,3
2210016,SD1102,75,D,4
2210016,SI1101,68,D,4
2210016,SD1202,56,D,6
2210017,SD1202,63,E,5
2210017,SD1201,72,E,1
2210017,SD1102,71,D,3
2210018,SD1101,75,B,1
2210018,SD2301,54,B,4
2210018,SD2201,64,B,1
2210019,SD2201,57,D,4
2210019,SD1202,75,D,5
2210019,IF1101,65,E,1
2210020,SD1101,68,D,2
2210020,SD1201,70,A,2
2210020,SD1202,68,B,6
2210021,SD1201,70,D,5
2210021,SD2401,64,B,5
2210021,SD2301,75,A,2
2210022,SD1101,59,C,5
2210022,SD2201,79,D,6
2210022,SD1102,71,C,2
2210023,SD2201,49,D,1
2210023,SD2301,77,E,1
2210023,SD1101,60,D,4
2210024,SD1102,68,B,5
2210024,SD1101,91,C,2
2210024,SD1202,75,D,5
2210025,SD1201,69,C,4
2210025,SD1101,74,C,4
2210025,IF1101,87,C,2
2210026,SD2101,94,C,3
2210026,SD1102,63,D,1
2210026,SI1201,75,B,6
2210027,SD1202,42,D,3
2210027,IF1101,74,B,4
2210027,SD1102,56,C,5
2210028,SD1101,76,E,2
2210028,SI1101,71,E,2
2210028,SD2101,65,E,3
2210029,SD2201,31,E,6
2210029,SD1201,81,B,4
2210029,SD2301,77,C,3
2210030,SD2101,61,D,6
2210030,SD1201,88,C,1
2210030,SD2401,85,C,6
2210031,SI1201,77,C,3
2210031,SD1202,81,D,4
2210031,SD2301,87,C,3
2210032,SI1101,79,B,4
2210032,SD1201,60,D,4
2210032,SD1101,67,D,4
2210033,SI1201,72,A,1
2210033,SD2201,71,C,1
2210033,SD2401,81,E,5
2210034,SI1101,60,B,6
2210034,SD1202,82,D,2
2210034,SD1101,85,C,3
2210035,SD2301,58,B,4
2210035,IF1201,,C,3
2210035,SD1102,82,D,6
2210036,SD1201,74,E,3
2210036,IF1101,53,B,5
2210036,SD1202,68,A,2
2210037,SD1101,89,C,5
2210037,SI1101,70,D,1
2210037,IF1201,82,A,5
2210038,IF1201,58,C,4
2210038,SI1101,59,C,6
2210038,SD1101,74,A,1
2210039,IF1101,71,A,1
2210039,SI1101,66,B,2
2210039,SD1201,69,E,2
2210040,SD1101,52,A,5
2210040,SD2301,83,C,1
2210040,SD1202,88,C,3
2210041,SD1102,54,B,5
2210041,SI1101,68,D,4
2210041,SI1201,74,D,6
2210042,SD2201,82,A,2
2210042,SI1201,80,C,4
2210042,SI1101,76,E,3
2210043,SD1201,65,A,4
2210043,SD2301,50,D,2
2210043,SD2101,75,C,5
2210044,SD1101,80,B,3
2210044,SI1101,71,A,1
2210044,SD2301,84,E,6
2210045,SD2201,70,A,5
2210045,SI1101,,A,5
2210045,SD1101,41,D,6
2210046,SD2401,67,D,6
2210046,SD2101,66,C,3
2210046,SD1202,78,C,1
2210047,SI1201,66,B,5
2210047,IF1201,99,C,2
2210047,SD2301,100,C,3
2210048,SD2201,78,B,4
2210048,SD1201,77,C,4
2210048,IF1101,82,B,5
2210049,SD1102,44,A,1
2210049,SI1101,85,C,5
2210049,SD1202,62,D,1
2210050,SI1101,78,B,6
2210050,SD1101,79,E,5
2210050,SI1201,81,D,3
2210051,IF1101,85,C,1
2210051,SD2101,68,E,5
2210051,SD1201,77,C,1
2210052,SD1201,71,B,5
2210052,SD2401,83,A,3
2210052,SI1101,88,C,6
2210053,SI1101,88,C,3
2210053,SD1201,57,E,4
2210053,SI1201,89,C,1
2210054,SD2101,94,C,1
2210054,SD1101,60,E,2
2210054,SD1102,51,A,3
2210055,IF1101,89,C,3
2210055,SD1102,64,E,1
2210055,SI1101,85,C,1
2210056,SD1101,94,C,6
2210056,SD2401,88,C,6
2210056,SD2301,79,E,6
2210057,SD1201,58,B,2
2210057,SD2201,60,B,5
2210057,IF1201,85,C,2
2210058,IF1201,72,E,5
2210058,SD2301,82,D,2
2210058,SD2101,66,E,5
2210059,SD1201,71,B,1
2210059,IF1101,67,E,5
2210059,SD1102,70,C,6
2210060,SI1101,66,C,4
2210060,SD1101,64,D,2
2210060,SD2401,61,C,2
2210061,SD1102,79,B,1
2210061,SD2201,65,D,2
2210061,IF1201,64,C,1
2210062,SD2201,60,D,3
2210062,IF1101,77,E,2
2210062,IF1201,54,A,5
2210063,IF1101,86,C,3
2210063,SI1101,75,E,4
2210063,SD1202,74,A,2
2210064,SI1101,88,C,1
2210064,IF1101,87,C,2
2210064,SD2301,90,C,1
2210065,SD1101,80,A,2
2210065,SD1202,69,A,3
2210065,SD2101,80,E,2
2210066,SD1102,71,B,4
2210066,SD2401,63,E,2
2210066,SD1101,87,C,4
2210067,SD2101,75,D,4
2210067,IF1201,59,A,4
2210067,SI1101,57,A,2
2210068,IF1201,65,E,1
2210068,SD2201,62,E,6
2210068,SD1201,72,D,5
2210069,SD2201,90,C,2
2210069,SD1202,84,C,6
2210069,IF1201,55,B,5
2210070,SD1102,77,B,1
2210070,IF1201,86,C,1
2210070,SD2101,60,B,2
2210071,IF1101,66,C,1
2210071,SI1201,73,E,2
2210071,SD2201,74,A,1
2210072,SI1101,65,E,5
2210072,SD2201,93,C,6
2210072,SD1101,89,C,4
2210073,SI1101,72,B,3
2210073,SD1102,72,C,2
2210073,SD2401,77,A,1
2210074,SD1102,82,A,6
2210074,SD1101,75,B,5
2210074,SD1202,55,D,5
2210075,SD1102,81,C,3
2210075,SD1202,82,B,6
2210075,SD2201,80,A,5
2210076,SD2401,75,C,4
2210076,SD2201,77,A,4
2210076,SD2301,63,D,2
2210077,SD1201,73,B,6
2210077,SD2101,96,C,2
2210077,IF1101,92,C,4
2210078,SD2101,67,C,6
2210078,SD1202,71,D,3
2210078,SD2301,59,E,3
2210079,SD1101,65,C,2
2210079,SD1202,42,A,4
2210079,SI1101,71,B,4
2210080,SI1101,91,C,3
2210080,SD1202,84,A,3
2210080,SI1201,76,C,4
2210081,SD1202,,C,3
2210081,SD2301,86,C,2
2210081,SI1101,71,E,1
2210082,SD2401,65,D,6
2210082,SD2201,69,E,1
2210082,SD1201,99,C,4
2210083,SD1201,38,E,5
2210083,SD1102,58,E,5
2210083,IF1201,61,C,2
2210084,SI1201,70,A,3
2210084,IF1201,68,E,1
2210084,SD1201,84,C,3
2210085,SD2301,78,D,3
2210085,SD1201,66,B,4
2210085,IF1101,84,D,6
2210086,SD2201,54,C,6
2210086,IF1201,59,E,4
2210086,SD2301,74,E,5
2210087,SD1201,64,C,4
2210087,SD2301,93,C,3
2210087,SD2201,70,B,3
2210088,SD1102,81,D,3
2210088,SD1202,83,D,6
2210088,IF1201,81,B,3
2210089,SD1101,78,C,5
2210089,IF1101,,C,4
2210089,SD1201,77,D,3
2210090,SD1201,57,D,1
2210090,IF1101,56,E,4
2210090,SI1201,64,C,6
2210091,SD1201,74,A,4
2210091,IF1201,76,C,5
2210091,SD2201,74,D,3
2210092,SD2201,89,C,2
2210092,SD2301,66,B,1
2210092,SD2401,64,B,1
2210093,SD1202,76,C,1
2210093,SD2301,65,A,1
2210093,SD1102,92,C,4
2210094,SD1102,59,E,2
2210094,SD1101,44,C,5
2210094,SD1202,55,A,3
2210095,SD1102,78,E,2
2210095,SD2301,79,C,6
2210095,SD1202,69,E,2
2210096,SI1101,87,C,5
2210096,IF1201,80,B,1
2210096,SD2401,88,C,3
2210097,SD2201,92,C,5
2210097,SD2301,74,E,5
2210097,SI1101,76,C,2
2210098,SD1102,78,B,5
2210098,SI1101,73,D,4
2210098,SD2401,74,B,2
2210099,SD2101,75,D,4
2210099,IF1101,83,A,4
2210099,SD1201,91,C,5
2210100,SD2201,75,A,5
2210100,SD1201,76,E,3
2210100,IF1201,67,D,3
2210101,SD2101,59,E,3
2210101,SD2401,70,A,4
2210101,SD2201,56,E,5
2210102,SD1101,63,C,5
2210102,SD2101,66,B,2
2210102,SI1101,72,B,1
2210103,SD1202,60,B,3
2210103,SD2301,65,D,2
2210103,SI1201,87,C,4
2210104,SI1201,69,C,1
2210104,IF1101,58,A,1
2210104,IF1201,89,C,4
2210105,SD1101,60,A,4
2210105,SD1102,68,D,4
2210105,SI1101,78,C,6
2210106,SI1201,80,D,2
2210106,SD2301,70,E,6
2210106,IF1201,79,B,6
2210107,SD2101,64,D,6
2210107,SD1202,68,C,6
2210107,SD1101,79,B,6
2210108,SD1102,82,C,3
2210108,SD2201,,C,6
2210108,SD1201,77,E,6
2210109,SD2301,91,C,1
2210109,SI1201,54,E,2
2210109,IF1201,70,D,2
2210110,SD1102,82,B,1
2210110,IF1101,85,C,1
2210110,SD2301,79,E,6
2210111,SI1101,78,E,6
2210111,SD1102,74,A,5
2210111,SD2201,71,C,1
2210112,SD1101,97,C,2
2210112,SI1101,71,B,4
2210112,SD2301,67,E,1
2210113,SD1102,78,A,5
2210113,IF1201,77,A,4
2210113,SD1201,30,C,6
2210114,SD2101,54,D,3
2210114,IF1101,79,B,2
2210114,SD2401,78,E,1
2210115,SD1202,41,E,6
2210115,SD2201,66,A,3
2210115,SD1101,84,B,2
2210116,SD2101,65,E,2
2210116,SI1101,50,B,4
2210116,IF1201,89,C,2
2210117,IF1201,79,C,3
2210117,SD2201,70,D,5
2210117,IF1101,68,A,2
2210118,SD2101,76,D,3
2210118,IF1101,77,B,1
2210118,SD2401,67,E,2
2210119,SD2201,71,B,4
2210119,SI1201,63,D,3
2210119,SD2401,71,D,1
2210120,SD2301,61,D,1
2210120,SD1202,71,E,1
2210120,IF1101,83,A,3
2210121,SD2201,52,B,6
2210121,SD2401,77,C,1
2210121,SD1202,59,D,5
2210122,SD2401,84,E,1
2210122,SD1102,80,C,6
2210122,SD1101,50,C,1
2210123,IF1201,84,E,4
2210123,SD2201,82,C,3
2210123,SI1201,95,C,4
2210124,SD1201,74,E,1
2210124,SD2101,78,C,3
2210124,SD2401,81,C,1
2210125,IF1201,83,B,1
2210125,SD1202,96,C,4
2210125,SD1101,75,A,4
2210126,IF1101,69,A,3
2210126,SD1202,56,A,1
2210126,SD2101,77,E,6
2210127,SD2201,81,C,6
2210127,IF1101,62,D,1
2210127,SD2301,89,C,1
2210128,SD2301,71,D,4
2210128,SD2401,77,A,1
2210128,IF1201,65,D,1
2210129,SD1102,72,E,4
2210129,IF1101,76,B,4
2210129,SD2301,74,E,3
2210130,SD2401,,C,5
2210130,SI1201,62,C,4
2210130,SD1202,76,D,4
2210131,SI1101,85,C,5
2210131,IF1101,88,C,1
2210131,IF1201,69,D,2
2210132,SD1201,60,D,1
2210132,SD2301,80,D,3
2210132,SD1102,98,C,5
2210133,SD1202,59,A,6
2210133,SD2401,76,C,1
2210133,SD1201,70,A,1
2210134,SD1101,58,E,1
2210134,SD2401,86,C,5
2210134,SD2201,96,C,5
2210135,SD2301,91,C,6
2210135,IF1101,64,C,1
2210135,SI1201,48,B,5
2210136,SD1202,64,A,3
2210136,SI1101,56,E,4
2210136,SI1201,,A,3
2210137,SI1101,76,B,3
2210137,SD1101,,C,2
2210137,SD1102,59,E,3
2210138,IF1201,50,C,6
2210138,SD1201,66,C,6
2210138,SI1201,66,C,3
2210139,SD1102,78,E,3
2210139,SD2401,68,B,4
2210139,IF1201,75,E,4
2210140,SD2301,67,D,1
2210140,SI1101,67,A,1
2210140,SD1201,71,D,1
2210141,SD2401,67,A,2
2210141,SD2301,,E,1
2210141,SI1201,78,C,4
2210142,SD1202,75,E,5
2210142,IF1201,,D,5
2210142,IF1101,81,C,6
2210143,SD1101,,B,5
2210143,SD2401,73,D,1
2210143,SI1201,74,C,1
2210144,SD2301,87,C,2
2210144,IF1201,93,C,3
2210144,SD1102,57,A,5
2210145,SI1201,,A,3
2210145,SD2101,81,D,4
2210145,IF1201,83,D,5
2210146,SD1201,67,A,2
2210146,SD1202,54,C,1
2210146,SD2201,99,C,3
2210147,SD1201,77,B,3
2210147,SD1102,84,E,1
2210147,SI1201,71,A,6
2210148,SD1102,,B,4
2210148,SI1201,65,E,2
2210148,SD2301,65,B,3
2210149,SD1201,66,C,3
2210149,SD1101,61,E,5
2210149,SI1101,60,C,3
2210150,SD1101,79,C,4
2210150,IF1201,63,C,1
2210150,SD1102,80,B,6
2210151,SD1101,73,E,5
2210151,SD2101,76,B,5
2210151,SD2301,69,E,4
2210152,SD1102,100,C,1
2210152,SD1202,62,D,6
2210152,IF1201,74,C,6
2210153,SD2401,89,C,5
2210153,SD2301,69,E,1
2210153,SD1202,85,C,4
2210154,IF1201,80,D,4
2210154,SD2301,55,C,1
2210154,SD1201,80,E,6
2210155,IF1201,79,E,5
2210155,SD2201,62,C,2
2210155,SD2401,65,D,2
2210156,SD1201,77,C,2
2210156,SD2401,82,C,3
2210156,SD1101,67,C,5
2210157,SD2301,58,A,4
2210157,IF1101,61,D,4
2210157,SD1202,55,A,3
2210158,SI1101,58,D,1
2210158,SD2401,50,D,5
2210158,SD2201,75,A,6
2210159,SD2301,70,B,3
2210159,SD1102,71,E,5
2210159,IF1101,77,C,5
2210160,SD2101,60,A,2
2210160,SD1201,69,E,3
2210160,IF1101,80,E,2
2210161,SD1201,83,B,3
2210161,IF1101,94,C,2
2210161,SI1201,82,A,4
2210162,SD1102,58,D,4
2210162,SD1202,60,C,4
2210162,SD2401,62,E,6
2210163,SI1201,77,D,5
2210163,SD1101,78,A,2
2210163,SI1101,78,C,5
2210164,SI1201,66,A,4
2210164,SD1101,76,D,1
2210164,SD2201,60,B,4
2210165,SD2201,57,A,2
2210165,IF1201,73,C,1
2210165,IF1101,84,E,6
2210166,SD2101,67,B,2
2210166,SD1102,80,D,5
2210166,SI1101,90,C,5
2210167,SD1101,77,B,4
2210167,SI1101,100,C,3
2210167,IF1101,67,A,4
2210168,SD2301,89,C,2
2210168,SD1102,71,D,1
2210168,IF1101,70,C,3
2210169,SD2101,78,B,5
2210169,IF1101,60,E,1
2210169,SI1101,70,B,1
2210170,SD2301,80,D,2
2210170,SD2201,56,A,4
2210170,SD1101,72,A,3
