nim,kode_mk,tanggal,pertemuan_ke,status,jam_masuk
2210001,SD1202,2022-09-01,1,hadir,9:00
2210001,SD1202,2022-09-08,2,IZIN,8:00
2210001,SD1202,2022-09-15,3,ALPA,
2210001,SD1202,2022-09-22,4,HADIR,8:15
2210001,SD1202,2022-09-29,5,ALPA,
2210001,SD1202,2022-10-06,,hadir,8:00
2210001,SD1202,2022-10-13,7,sakit,9:45
2210001,SD1202,2022-10-20,8,H,9:30
2210001,SD1202,27/10/2022,9,alpa,
2210001,SD1202,2022-11-03,10,H,8:45
2210001,SD1202,2022-11-10,11,hadir,8:00
2210001,SD1202,2022-11-17,12,HADIR,7:30
2210001,SD1202,2022-11-24,13,ALPA,
2210001,SD1202,2022-12-01,14,SAKIT,7:45
2210001,SD1201,2022-09-01,1,hadir,7:15
2210001,SD1201,2022-09-08,2,izin,7:45
2210001,SD1201,2022-09-15,3,H,8:30
2210001,SD1201,2022-09-22,4,ALPA,
2210001,SD1201,29/09/2022,5,alpa,
2210001,SD1201,2022-10-06,6,izin,8:30
2210001,SD1201,2022-10-13,7,SAKIT,7:30
2210001,SD1201,2022-10-20,8,ALPA,
2210001,SD1201,2022-10-27,,IZIN,7:15
2210001,SD1201,2022-11-03,10,SAKIT,8:30
2210001,SD1201,2022-11-10,,HADIR,8:00
2210001,SD1201,2022-11-17,12,izin,7:45
2210001,SD1201,2022-11-24,13,-,
2210001,SD1201,2022-12-01,14,alpa,
2210001,SI1201,2022-09-01,1,SAKIT,9:45
2210001,SI1201,2022-09-08,2,izin,9:00
2210001,SI1201,2022-09-15,3,hadir,7:15
2210001,SI1201,2022-09-22,,HADIR,8:00
2210001,SI1201,2022-09-29,5,IZIN,8:15
2210001,SI1201,2022-10-06,6,alpa,
2210001,SI1201,2022-10-13,7,alpa,
2210001,SI1201,2022-10-20,8,IZIN,8:45
2210001,SI1201,2022-10-27,9,SAKIT,9:15
2210001,SI1201,2022-11-03,10,ALPA,
2210001,SI1201,2022-11-10,11,SAKIT,9:15
2210001,SI1201,2022-11-17,12,izin,7:00
2210001,SI1201,2022-11-24,13,ALPA,
2210001,SI1201,2022-12-01,14,-,
2210002,SD1102,2022-09-01,1,SAKIT,7:15
2210002,SD1102,2022-09-08,2,H,9:15
2210002,SD1102,2022-09-15,3,-,
2210002,SD1102,2022-09-22,4,hadir,9:00
2210002,SD1102,2022-09-29,5,H,7:45
2210002,SD1102,2022-10-06,6,sakit,8:30
2210002,SD1102,2022-10-13,7,ALPA,
2210002,SD1102,2022-10-20,8,H,7:45
2210002,SD1102,2022-10-27,9,ALPA,
2210002,SD1102,2022-11-03,10,-,
2210002,SD1102,2022-11-10,11,-,
2210002,SD1102,2022-11-17,12,H,8:00
2210002,SD1102,2022-11-24,13,H,8:30
2210002,SD1102,2022-12-01,14,-,
2210002,IF1101,2022-09-01,1,H,9:15
2210002,IF1101,2022-09-08,2,HADIR,9:30
2210002,IF1101,2022-09-15,3,SAKIT,8:00
2210002,IF1101,2022-09-22,4,sakit,8:15
2210002,IF1101,2022-09-29,5,ALPA,
2210002,IF1101,2022-10-06,6,HADIR,9:30
2210002,IF1101,2022-10-13,7,H,7:30
2210002,IF1101,2022-10-20,8,HADIR,9:00
2210002,IF1101,2022-10-27,9,H,9:00
2210002,IF1101,2022-11-03,10,-,
2210002,IF1101,2022-11-10,11,-,
2210002,IF1101,2022-11-17,12,sakit,8:30
2210002,IF1101,2022-11-24,13,izin,7:15
2210002,IF1101,2022-12-01,14,SAKIT,7:30
2210002,SI1101,2022-09-01,1,HADIR,9:15
2210002,SI1101,2022-09-08,2,HADIR,9:15
2210002,SI1101,2022-09-15,,ALPA,
2210002,SI1101,2022-09-22,4,ALPA,
2210002,SI1101,2022-09-29,5,sakit,8:30
2210002,SI1101,2022-10-06,6,IZIN,8:30
2210002,SI1101,2022-10-13,7,H,9:30
2210002,SI1101,2022-10-20,8,ALPA,
2210002,SI1101,2022-10-27,9,HADIR,7:00
2210002,SI1101,2022-11-03,10,SAKIT,7:30
2210002,SI1101,2022-11-10,11,ALPA,
2210002,SI1101,2022-11-17,12,izin,9:30
2210002,SI1101,2022-11-24,13,hadir,8:45
2210002,SI1101,2022-12-01,14,-,
2210003,SD2201,2022-09-01,1,sakit,7:45
2210003,SD2201,2022-09-08,2,alpa,
2210003,SD2201,2022-09-15,3,hadir,9:15
2210003,SD2201,2022-09-22,4,hadir,7:30
2210003,SD2201,2022-09-29,5,-,
2210003,SD2201,06/10/2022,6,H,7:30
2210003,SD2201,2022-10-13,7,H,7:45
2210003,SD2201,2022-10-20,8,HADIR,9:00
2210003,SD2201,2022-10-27,9,sakit,8:30
2210003,SD2201,2022-11-03,10,ALPA,
2210003,SD2201,2022-11-10,11,ALPA,
2210003,SD2201,2022-11-17,12,IZIN,7:15
2210003,SD2201,2022-11-24,13,hadir,7:45
2210003,SD2201,2022-12-01,14,H,8:15
2210003,SI1201,2022-09-01,1,alpa,
2210003,SI1201,2022-09-08,2,izin,8:45
2210003,SI1201,15/09/2022,3,IZIN,9:30
2210003,SI1201,2022-09-22,4,alpa,
2210003,SI1201,2022-09-29,5,izin,9:00
2210003,SI1201,2022-10-06,6,H,7:15
2210003,SI1201,2022-10-13,7,hadir,9:30
2210003,SI1201,2022-10-20,8,HADIR,9:15
2210003,SI1201,2022-10-27,9,ALPA,
2210003,SI1201,2022-11-03,10,-,
2210003,SI1201,2022-11-10,11,alpa,
2210003,SI1201,2022-11-17,12,H,9:15
2210003,SI1201,2022-11-24,13,ALPA,
2210003,SI1201,2022-12-01,14,IZIN,9:15
2210003,IF1201,2022-09-01,1,ALPA,
2210003,IF1201,2022-09-08,2,alpa,
2210003,IF1201,2022-09-15,3,-,
2210003,IF1201,2022-09-22,4,ALPA,
2210003,IF1201,2022-09-29,5,izin,8:00
2210003,IF1201,2022-10-06,6,hadir,7:30
2210003,IF1201,2022-10-13,7,sakit,9:00
2210003,IF1201,2022-10-20,8,SAKIT,9:00
2210003,IF1201,2022-10-27,9,IZIN,7:15
2210003,IF1201,2022-11-03,10,HADIR,9:00
2210003,IF1201,2022-11-10,11,ALPA,
2210003,IF1201,2022-11-17,12,sakit,7:15
2210003,IF1201,2022-11-24,13,alpa,
2210003,IF1201,2022-12-01,14,alpa,
2210004,SD2301,2022-09-01,1,izin,8:00
2210004,SD2301,2022-09-08,2,hadir,7:00
2210004,SD2301,2022-09-15,3,-,
2210004,SD2301,2022-09-22,4,HADIR,9:00
2210004,SD2301,2022-09-29,5,HADIR,7:15
2210004,SD2301,2022-10-06,6,sakit,8:30
2210004,SD2301,2022-10-13,7,izin,7:45
2210004,SD2301,2022-10-20,8,H,8:45
2210004,SD2301,2022-10-27,9,HADIR,8:00
2210004,SD2301,2022-11-03,10,IZIN,8:15
2210004,SD2301,2022-11-10,11,izin,7:15
2210004,SD2301,2022-11-17,12,sakit,7:15
2210004,SD2301,2022-11-24,13,izin,8:45
2210004,SD2301,2022-12-01,14,IZIN,7:45
2210004,SD1201,2022-09-01,1,H,7:00
2210004,SD1201,2022-09-08,2,-,
2210004,SD1201,2022-09-15,3,ALPA,
2210004,SD1201,2022-09-22,4,hadir,9:00
2210004,SD1201,2022-09-29,,sakit,8:45
2210004,SD1201,2022-10-06,6,HADIR,8:45
2210004,SD1201,2022-10-13,7,ALPA,
2210004,SD1201,2022-10-20,8,alpa,
2210004,SD1201,2022-10-27,9,HADIR,8:45
2210004,SD1201,2022-11-03,10,SAKIT,9:45
2210004,SD1201,2022-11-10,11,sakit,7:00
2210004,SD1201,2022-11-17,12,-,
2210004,SD1201,2022-11-24,13,ALPA,
2210004,SD1201,2022-12-01,14,SAKIT,9:30
2210004,SI1201,2022-09-01,1,ALPA,
2210004,SI1201,2022-09-08,2,sakit,7:15
2210004,SI1201,2022-09-15,3,hadir,7:00
2210004,SI1201,22/09/2022,4,IZIN,8:00
2210004,SI1201,2022-09-29,5,izin,8:45
2210004,SI1201,2022-10-06,6,ALPA,
2210004,SI1201,2022-10-13,7,alpa,
2210004,SI1201,2022-10-20,8,ALPA,
2210004,SI1201,2022-10-27,9,hadir,9:30
2210004,SI1201,2022-11-03,10,-,
2210004,SI1201,2022-11-10,11,hadir,7:30
2210004,SI1201,2022-11-17,12,-,
2210004,SI1201,2022-11-24,13,H,8:15
2210004,SI1201,2022-12-01,14,hadir,9:30
2210005,SD1102,2022-09-01,1,-,
2210005,SD1102,2022-09-08,2,IZIN,7:00
2210005,SD1102,2022-09-15,3,izin,7:00
2210005,SD1102,2022-09-22,4,ALPA,
2210005,SD1102,2022-09-29,5,SAKIT,7:00
2210005,SD1102,2022-10-06,6,izin,7:00
2210005,SD1102,2022-10-13,7,H,7:45
2210005,SD1102,2022-10-20,8,IZIN,8:45
2210005,SD1102,2022-10-27,9,-,
2210005,SD1102,2022-11-03,10,ALPA,
2210005,SD1102,2022-11-10,11,alpa,
2210005,SD1102,2022-11-17,12,HADIR,8:30
2210005,SD1102,2022-11-24,13,hadir,8:30
2210005,SD1102,2022-12-01,,H,8:45
2210005,SD1101,2022-09-01,1,sakit,8:00
2210005,SD1101,2022-09-08,2,-,
2210005,SD1101,2022-09-15,3,-,
2210005,SD1101,2022-09-22,4,izin,8:15
2210005,SD1101,2022-09-29,5,-,
2210005,SD1101,2022-10-06,6,HADIR,7:15
2210005,SD1101,2022-10-13,7,ALPA,
2210005,SD1101,2022-10-20,8,izin,7:15
2210005,SD1101,2022-10-27,9,H,7:00
2210005,SD1101,2022-11-03,10,HADIR,9:30
2210005,SD1101,2022-11-10,11,-,
2210005,SD1101,2022-11-17,12,hadir,9:15
2210005,SD1101,2022-11-24,13,alpa,
2210005,SD1101,2022-12-01,14,izin,8:00
2210005,SI1201,2022-09-01,1,hadir,8:00
2210005,SI1201,2022-09-08,2,SAKIT,9:45
2210005,SI1201,2022-09-15,3,izin,8:30
2210005,SI1201,2022-09-22,4,hadir,8:45
2210005,SI1201,2022-09-29,5,hadir,9:15
2210005,SI1201,2022-10-06,6,H,9:00
2210005,SI1201,2022-10-13,7,IZIN,7:00
2210005,SI1201,2022-10-20,8,HADIR,9:00
2210005,SI1201,2022-10-27,9,izin,8:45
2210005,SI1201,2022-11-03,10,SAKIT,8:00
2210005,SI1201,2022-11-10,11,H,9:00
2210005,SI1201,2022-11-17,12,alpa,
2210005,SI1201,2022-11-24,13,alpa,
2210005,SI1201,2022-12-01,14,-,
2210006,IF1101,2022-09-01,1,H,9:15
2210006,IF1101,2022-09-08,2,hadir,8:30
2210006,IF1101,2022-09-15,3,IZIN,7:30
2210006,IF1101,2022-09-22,4,SAKIT,9:30
2210006,IF1101,2022-09-29,5,izin,7:30
2210006,IF1101,2022-10-06,6,alpa,
2210006,IF1101,2022-10-13,7,izin,9:45
2210006,IF1101,2022-10-20,8,hadir,9:15
2210006,IF1101,2022-10-27,9,SAKIT,9:15
2210006,IF1101,2022-11-03,10,HADIR,7:15
2210006,IF1101,2022-11-10,11,HADIR,7:30
2210006,IF1101,2022-11-17,12,sakit,9:45
2210006,IF1101,2022-11-24,13,izin,7:15
2210006,IF1101,2022-12-01,14,SAKIT,7:00
2210006,SD2301,2022-09-01,1,HADIR,8:45
2210006,SD2301,2022-09-08,2,H,7:30
2210006,SD2301,2022-09-15,3,H,7:15
2210006,SD2301,22/09/2022,4,alpa,
2210006,SD2301,2022-09-29,5,-,
2210006,SD2301,2022-10-06,6,H,9:30
2210006,SD2301,2022-10-13,7,izin,8:45
2210006,SD2301,2022-10-20,8,-,
2210006,SD2301,2022-10-27,9,sakit,9:45
2210006,SD2301,2022-11-03,10,SAKIT,8:45
2210006,SD2301,2022-11-10,11,-,
2210006,SD2301,2022-11-17,12,H,8:30
2210006,SD2301,2022-11-24,13,ALPA,
2210006,SD2301,2022-12-01,14,hadir,9:45
2210006,SD1101,2022-09-01,1,IZIN,9:45
2210006,SD1101,2022-09-08,2,izin,8:00
2210006,SD1101,2022-09-15,3,SAKIT,8:00
2210006,SD1101,2022-09-22,4,sakit,7:30
2210006,SD1101,2022-09-29,5,HADIR,8:15
2210006,SD1101,2022-10-06,6,SAKIT,9:45
2210006,SD1101,2022-10-13,7,izin,8:15
2210006,SD1101,2022-10-20,8,H,7:15
2210006,SD1101,2022-10-27,9,ALPA,
2210006,SD1101,2022-11-03,10,H,7:15
2210006,SD1101,2022-11-10,11,izin,8:00
2210006,SD1101,2022-11-17,12,SAKIT,7:30
2210006,SD1101,2022-11-24,13,izin,7:15
2210006,SD1101,2022-12-01,14,SAKIT,8:15
2210007,SD2101,2022-09-01,1,izin,8:30
2210007,SD2101,2022-09-08,,H,7:00
2210007,SD2101,2022-09-15,3,-,
2210007,SD2101,2022-09-22,4,SAKIT,7:30
2210007,SD2101,2022-09-29,5,alpa,
2210007,SD2101,2022-10-06,6,H,7:00
2210007,SD2101,2022-10-13,7,H,7:00
2210007,SD2101,2022-10-20,8,hadir,8:00
2210007,SD2101,2022-10-27,9,HADIR,8:30
2210007,SD2101,2022-11-03,10,sakit,9:15
2210007,SD2101,2022-11-10,11,-,
2210007,SD2101,17/11/2022,12,-,
2210007,SD2101,2022-11-24,13,IZIN,7:30
2210007,SD2101,2022-12-01,14,alpa,
2210007,IF1101,2022-09-01,1,hadir,8:45
2210007,IF1101,2022-09-08,2,ALPA,
2210007,IF1101,2022-09-15,3,hadir,8:15
2210007,IF1101,2022-09-22,4,H,7:00
2210007,IF1101,2022-09-29,5,hadir,8:30
2210007,IF1101,2022-10-06,6,-,
2210007,IF1101,2022-10-13,7,SAKIT,8:00
2210007,IF1101,2022-10-20,8,hadir,9:45
2210007,IF1101,2022-10-27,9,hadir,8:45
2210007,IF1101,2022-11-03,10,ALPA,
2210007,IF1101,2022-11-10,11,izin,7:45
2210007,IF1101,2022-11-17,12,HADIR,8:30
2210007,IF1101,2022-11-24,13,ALPA,
