product_id,nama_produk,kategori,harga_satuan,harga_berlaku_dari,aktif
PRD-0001,Teh Gula 1,Snack,25000,2025-05-01,ya
PRD-0002,Es Keju 2,Kopi,12000,2025-04-01,ya
PRD-0003,Matcha Keju 3,Non-Kopi,45000,2025-08-01,ya
PRD-0004,Matcha Susu 4,Roti,20000,2025-07-01,ya
PRD-0005,Matcha Keju 5,Kopi,12000,2025-01-01,ya
PRD-0006,Es Spesial 6,Non-Kopi,20000,2025-03-01,ya
PRD-0007,Roti Aren 7,Snack,32000,2025-09-01,ya
PRD-0008,Es Original 8,Snack,12000,2025-02-01,ya
PRD-0009,Pisang Original 9,Kopi,12000,2025-05-01,ya
PRD-0010,Susu Kelapa 10,Non-Kopi,45000,2025-07-01,ya
PRD-0011,Teh Original 11,Roti,28000,2025-11-01,ya
PRD-0012,Cokelat Spesial 12,Roti,25000,2025-06-01,ya
PRD-0013,Susu Keju 13,Snack,12000,2025-12-01,ya
PRD-0014,Kopi Original 14,Snack,15000,2025-04-01,tidak
PRD-0015,Susu Aren 15,Non-Kopi,15000,2025-08-01,tidak
PRD-0016,Matcha Original 16,Non-Kopi,18000,2025-10-01,ya
PRD-0017,Pisang Madu 17,Roti,18000,2025-02-01,ya
PRD-0018,Susu Kelapa 18,Snack,28000,2025-08-01,ya
PRD-0019,Susu Original 19,Snack,25000,2025-02-01,ya
PRD-0020,Roti Keju 20,Non-Kopi,12000,2025-09-01,ya
PRD-0021,Cokelat Kelapa 21,Roti,32000,2025-07-01,ya
PRD-0022,Es Susu 22,Roti,18000,2025-12-01,ya
PRD-0023,Roti Aren 23,Kopi,20000,2025-10-01,ya
PRD-0024,Cokelat Keju 24,Snack,12000,2025-05-01,ya
PRD-0025,Matcha Gula 25,Snack,20000,2025-07-01,ya
PRD-0026,Susu Keju 26,Non-Kopi,18000,2025-08-01,ya
PRD-0027,Es Kelapa 27,Non-Kopi,25000,2025-09-01,ya
PRD-0028,Teh Gula 28,Snack,32000,2025-05-01,ya
PRD-0029,Matcha Original 29,Roti,32000,2025-09-01,ya
PRD-0030,Susu Original 30,Snack,32000,2025-11-01,ya
PRD-0031,Cokelat Original 31,Roti,22000,2025-01-01,tidak
PRD-0032,Es Keju 32,Non-Kopi,32000,2025-05-01,ya
