item_id,transaction_id,product_id,qty,harga_satuan,diskon
ITM-0000001,TRX-A250101-1117,PRD-0031,1,22000,0
ITM-0000002,TRX-A250101-1117,PRD-0036,1,22000,2000
ITM-0000003,TRX-A250101-5156,PRD-0048,2,28000,0
ITM-0000004,TRX-A250101-5156,PRD-0027,1,25000,1000
ITM-0000005,TRX-A250101-5156,PRD-0020,2,12000,0
ITM-0000006,TRX-A250101-9067,PRD-0097,2,18000,0
ITM-0000007,TRX-A250101-9067,PRD-0052,2,20000,1000
ITM-0000008,TRX-A250101-1568,PRD-0110,-1,20000,0
ITM-0000009,TRX-A250101-1568,PRD-0112,2,32000,0
ITM-0000010,TRX-A250101-9752,PRD-0098,1,18000,5000
ITM-0000011,TRX-A250101-9752,PRD-0093,2,45000,5000
ITM-0000012,TRX-A250101-3391,PRD-0070,2,32000,0
ITM-0000013,TRX-A250101-3391,PRD-0002,2,12000,0
ITM-0000014,TRX-A250101-2507,PRD-0027,1,25000,0
ITM-0000015,TRX-A250101-2507,PRD-0049,2,22000,0
ITM-0000016,TRX-A250101-9730,PRD-0055,1,20000,0
ITM-0000017,TRX-A250102-7573,PRD-0084,1,28000,0
ITM-0000018,TRX-A250102-4864,PRD-0108,2,25000,0
ITM-0000019,TRX-A250102-4864,PRD-0039,2,22000,1000
ITM-0000020,TRX-A250102-4864,PRD-0116,3,45000,5000
ITM-0000021,TRX-A250102-6580,PRD-0079,2,32000,0
ITM-0000022,TRX-A250102-4616,PRD-0054,2,15000,2000
ITM-0000023,TRX-A250102-4616,PRD-0049,2,22000,5000
ITM-0000024,TRX-A250102-4167,PRD-0023,1,20000,1000
ITM-0000025,TRX-A250102-4167,PRD-0055,1,20000,0
ITM-0000026,TRX-A250102-7877,PRD-0012,3,25000,2000
ITM-0000027,TRX-A250102-7877,PRD-0044,1,32000,1000
ITM-0000028,TRX-A250102-2639,PRD-0020,2,12000,1000
ITM-0000029,TRX-A250102-2639,PRD-0081,3,28000,0
ITM-0000030,TRX-A250102-6132,PRD-0053,2,45000,5000
ITM-0000031,TRX-A250102-6511,PRD-0017,3,18000,2000
ITM-0000032,TRX-A250102-6511,PRD-0110,1,20000,1000
ITM-0000033,TRX-A250102-5568,PRD-0115,2,18000,0
ITM-0000034,TRX-A250102-5568,PRD-0095,3,20000,0
ITM-0000035,TRX-A250102-5568,PRD-0100,3,28000,1000
ITM-0000036,TRX-A250102-2593,PRD-0008,2,12000,2000
ITM-0000037,TRX-A250102-2593,PRD-0106,2,45000,0
ITM-0000038,TRX-A250102-6160,PRD-0061,1,28000,0
ITM-0000039,TRX-A250103-2838,PRD-0055,1,20000,0
ITM-0000040,TRX-A250103-2838,PRD-0016,2,18000,0
ITM-0000041,TRX-A250103-2838,PRD-0053,1,45000,0
ITM-0000042,TRX-A250103-3303,PRD-0089,3,25000,0
ITM-0000043,TRX-A250103-9435,PRD-0059,3,12000,0
ITM-0000044,TRX-A250103-9435,PRD-0088,2,45000,2000
ITM-0000045,TRX-A250103-9435,PRD-0004,3,20000,2000
ITM-0000046,TRX-A250103-4773,PRD-0004,2,20000,0
ITM-0000047,TRX-A250103-4773,PRD-0081,1,28000,2000
ITM-0000048,TRX-A250103-4773,PRD-0112,1,32000,0
ITM-0000049,TRX-A250103-7113,PRD-0059,1,12000,0
ITM-0000050,TRX-A250103-7113,PRD-0070,2,32000,0
ITM-0000051,TRX-A250103-7113,PRD-0029,3,32000,0
ITM-0000052,TRX-A250103-7722,PRD-0112,1,32000,0
ITM-0000053,TRX-A250103-3823,PRD-0098,1,18000,2000
ITM-0000054,TRX-A250103-8026,PRD-0100,2,28000,0
ITM-0000055,TRX-A250103-6602,PRD-0030,-1,32000,0
ITM-0000056,TRX-A250103-6602,PRD-0099,3,45000,1000
ITM-0000057,TRX-A250103-1472,PRD-0031,1,22000,0
ITM-0000058,TRX-A250103-1472,PRD-0037,1,20000,0
ITM-0000059,TRX-A250103-1379,PRD-0077,2,22000,0
ITM-0000060,TRX-A250103-3241,PRD-0078,2,20000,1000
ITM-0000061,TRX-A250103-3241,PRD-0011,1,28000,0
ITM-0000062,TRX-A250103-3241,PRD-0115,3,18000,0
ITM-0000063,TRX-A250103-8283,PRD-0012,1,25000,5000
ITM-0000064,TRX-A250103-8283,PRD-0053,3,45000,0
ITM-0000065,TRX-A250103-1179,PRD-0022,2,18000,5000
ITM-0000066,TRX-A250103-1027,PRD-0089,2,25000,2000
ITM-0000067,TRX-A250103-1027,PRD-0108,1,25000,0
ITM-0000068,TRX-A250103-1027,PRD-0068,2,20000,2000
ITM-0000069,TRX-A250103-2804,PRD-0059,2,12000,0
ITM-0000070,TRX-A250103-2804,PRD-0009,1,12000,0
ITM-0000071,TRX-A250103-3266,PRD-0031,2,22000,0
ITM-0000072,TRX-A250103-3266,PRD-0120,3,15000,1000
ITM-0000073,TRX-A250104-9273,PRD-0116,1,45000,0
ITM-0000074,TRX-A250104-9273,PRD-0084,2,28000,0
ITM-0000075,TRX-A250104-9273,PRD-0083,3,20000,2000
ITM-0000076,TRX-A250104-8734,PRD-0010,2,45000,0
ITM-0000077,TRX-A250104-9396,PRD-0004,2,20000,0
