transaction_id,outlet_id,customer_id,tanggal_waktu,status,total_bayar
TRX-A250101-1117,OUT-A,,2025-01-01 10:17:00,PAID,42000
TRX-A250101-5156,OUT-A,,2025-01-01 21:25:00,PAID,48000
TRX-A250101-9067,OUT-A,CUST-00258,2025-01-01 18:54:00,PAID,75000
TRX-A250101-1568,OUT-A,CUST-00244,2025-01-01 11:10:00,PAID,44000
TRX-A250101-9752,OUT-A,CUST-00320,2025-01-01 15:29:00,PAID,98000
TRX-A250101-3391,OUT-A,CUST-00596,2025-01-01 14:35:00,PAID,88000
TRX-A250101-2507,OUT-A,CUST-00453,2025-01-01 16:50:00,PAID,69000
TRX-A250101-9730,OUT-A,CUST-00640,2025-01-01 17:18:00,PAID,64000
TRX-A250102-7573,OUT-A,,2025-01-02 09:02:00,PAID,48000
TRX-A250102-4864,OUT-A,CUST-00700,2025-01-02 09:35:00,PAID,173000
TRX-A250102-6580,OUT-A,CUST-00305,2025-01-02T12:21:00Z,PAID,194000
TRX-A250102-4616,OUT-A,CUST-00717,2025-01-02 14:08:00,PAID,67000
TRX-A250102-4167,OUT-A,,2025-01-02 20:54:00,PAID,39000
TRX-A250102-7877,OUT-A,CUST-00259,2025-01-02 11:57:00,PAID,104000
TRX-A250102-2639,OUT-A,CUST-00041,2025-01-02 10:45:00,PAID,107000
TRX-A250102-6132,OUT-A,CUST-00268,2025-01-02T08:06:00Z,PAID,169000
TRX-A250102-6511,OUT-A,CUST-00491,2025-01-02 14:52:00,PAID,71000
TRX-A250102-5568,OUT-A,,2025-01-02 13:15:00,PAID,143000
TRX-A250102-2593,OUT-A,,2025-01-02 14:32:00,PAID,112000
TRX-A250102-6160,OUT-A,CUST-00454,2025-01-02 17:25:00,PAID,118000
TRX-A250103-2838,OUT-A,CUST-00440,2025-01-03T02:19:00Z,PAID,81000
TRX-A250103-3303,OUT-A,,2025-01-03 09:56:00,PAID,120000
TRX-A250103-9435,OUT-A,CUST-00720,2025-01-03 15:06:00,PAID,146000
TRX-A250103-4773,OUT-A,CUST-00357,2025-01-03 17:49:00,PAID,58000
TRX-A250103-7113,OUT-A,,2025-01-03T14:56:00Z,PAID,160000
TRX-A250103-7722,OUT-A,CUST-00580,2025-01-03 09:16:00,PAID,128000
TRX-A250103-3823,OUT-A,CUST-00714,2025-01-03 19:43:00,PAID,48000
TRX-A250103-8026,OUT-A,,2025-01-03 07:58:00,PAID,72000
TRX-A250103-6602,OUT-A,CUST-00377,2025-01-03 09:23:00,PAID,102000
TRX-A250103-1472,OUT-A,,2025-01-03 18:37:00,PAID,42000
TRX-A250103-1379,OUT-A,CUST-00157,2025-01-03 07:53:00,PAID,64000
TRX-A250103-3241,OUT-A,CUST-00470,2025-01-03T04:21:00Z,PAID,82000
TRX-A250103-8283,OUT-A,CUST-00660,2025-01-03 19:46:00,PAID,155000
TRX-A250103-1179,OUT-A,CUST-00088,2025-01-03 19:38:00,PAID,166000
TRX-A250103-1027,OUT-A,,2025-01-03 14:47:00,PAID,63000
TRX-A250103-2804,OUT-A,CUST-00217,2025-01-03 20:30:00,PAID,36000
TRX-A250103-3266,OUT-A,CUST-00183,2025-01-03 16:20:00,PAID,88000
TRX-A250104-9273,OUT-A,CUST-00630,2025-01-04T03:54:00Z,PAID,114000
TRX-A250104-8734,OUT-A,CUST-00060,2025-01-04T05:16:00Z,Paid,148000
TRX-A250104-9396,OUT-A,,2025-01-04 17:25:00,PAID,130000
TRX-A250104-1759,OUT-A,CUST-00673,2025-01-04 17:02:00,PAID,41000
TRX-A250104-2510,OUT-A,CUST-00613,2025-01-04T07:18:00Z,PAID,165000
TRX-A250104-9175,OUT-A,CUST-00573,2025-01-04 13:59:00,PAID,38000
TRX-A250104-3300,OUT-A,CUST-00659,2025-01-04 17:10:00,PAID,65000
TRX-A250104-2766,OUT-A,CUST-00165,2025-01-04 15:21:00,PAID,69000
TRX-A250104-6305,OUT-A,,2025-01-04 08:31:00,PAID,30000
TRX-A250104-7943,OUT-A,,2025-01-04 16:12:00,PAID,33000
TRX-A250104-4954,OUT-A,,2025-01-04 17:37:00,PAID,52000
TRX-A250104-6508,OUT-A,CUST-00597,2025-01-04T06:27:00Z,PAID,98000
TRX-A250104-2243,OUT-A,CUST-00645,2025-01-04 16:53:00,PAID,77000
TRX-A250104-4473,OUT-A,CUST-00009,2025-01-04 18:13:00,PAID,77000
TRX-A250104-7102,OUT-A,CUST-00521,2025-01-04T03:14:00Z,PAID,30000
TRX-A250104-8959,OUT-A,CUST-00099,2025-01-04 16:38:00,PAID,37000
TRX-A250104-1600,OUT-A,,2025-01-04 17:25:00,PAID,50000
TRX-A250105-9101,OUT-A,,2025-01-05 11:32:00,PAID,69000
TRX-A250105-8182,OUT-A,CUST-00292,2025-01-05T01:09:00Z,PAID,123000
TRX-A250105-9306,OUT-A,CUST-00157,2025-01-05 10:47:00,PAID,43000
TRX-A250105-4925,OUT-A,,2025-01-05 12:44:00,PAID,55000
TRX-A250105-4282,OUT-A,CUST-00631,2025-01-05 12:11:00,PAID,56000
TRX-A250105-5315,OUT-A,CUST-00253,2025-01-05T00:09:00Z,PAID,72000
TRX-A250105-7117,OUT-A,CUST-00666,2025-01-05 16:41:00,PAID,51000
TRX-A250105-7718,OUT-A,CUST-00622,2025-01-05 13:11:00,PAID,38000
TRX-A250105-5776,OUT-A,CUST-00652,2025-01-05 11:39:00,PAID,80000
TRX-A250105-2332,OUT-A,,2025-01-05 18:42:00,PAID,62000
TRX-A250105-9713,OUT-A,CUST-00765,2025-01-05 08:52:00,PAID,107000
TRX-A250105-2949,OUT-A,CUST-00013,2025-01-05 19:16:00,PAID,100000
TRX-A250105-8082,OUT-A,CUST-00588,2025-01-05 20:30:00,PAID,66000
TRX-A250105-5316,OUT-A,CUST-00138,2025-01-05 08:47:00,PAID,66000
TRX-A250105-2526,OUT-A,,2025-01-05 13:57:00,PAID,66000
TRX-A250105-2661,OUT-A,CUST-00628,2025-01-05 16:37:00,PAID,54000
TRX-A250106-9172,OUT-A,CUST-00172,2025-01-06 18:04:00,PAID,49000
TRX-A250106-7337,OUT-A,CUST-00536,2025-01-06T05:49:00Z,PAID,51000
TRX-A250106-1376,OUT-A,,2025-01-06 17:16:00,PAID,48000
TRX-A250106-1575,OUT-A,CUST-00677,2025-01-06 10:06:00,REFUND,63000
TRX-A250106-2583,OUT-A,CUST-00156,2025-01-06 20:38:00,PAID,44000
TRX-A250106-8670,OUT-A,CUST-00035,2025-01-06 21:55:00,VOID,46000
TRX-A250106-5596,OUT-A,,2025-01-06T03:53:00Z,PAID,24000
TRX-A250106-9042,OUT-A,,2025-01-06 10:57:00,PAID,29000
TRX-A250106-3476,OUT-A,,2025-01-06 17:19:00,PAID,54000
TRX-A250106-6076,OUT-A,CUST-00285,2025-01-06 12:14:00,PAID,40000
TRX-A250106-7764,OUT-A,CUST-00504,2025-01-06 14:55:00,paid,47000
TRX-A250106-5490,OUT-A,CUST-00737,2025-01-06 14:53:00,PAID,65000
TRX-A250106-4720,OUT-A,CUST-00703,2025-01-06T05:12:00Z,PAID,94000
TRX-A250107-2173,OUT-A,CUST-00622,2025-01-07T03:50:00Z,PAID,132000
TRX-A250107-4877,OUT-A,CUST-00669,2025-01-07 21:40:00,PAID,71000
TRX-A250107-3550,OUT-A,CUST-00028,2025-01-07 18:58:00,PAID,83000
TRX-A250107-8683,OUT-A,,2025-01-07 18:14:00,PAID,112000
TRX-A250107-5950,OUT-A,CUST-00616,2025-01-07 18:58:00,PAID,42000
TRX-A250107-8273,OUT-A,,2025-01-07 19:11:00,PAID,48000
TRX-A250107-8464,OUT-A,CUST-00020,2025-01-07 21:09:00,PAID,54000
TRX-A250107-1365,OUT-A,CUST-00290,2025-01-07 16:21:00,PAID,130000
TRX-A250107-4518,OUT-A,CUST-00151,2025-01-07 07:25:00,PAID,125000
TRX-A250107-4079,OUT-A,,2025-01-07 09:25:00,PAID,76000
TRX-A250107-2391,OUT-A,,2025-01-07 11:58:00,PAID,39000
TRX-A250107-5792,OUT-A,CUST-00269,2025-01-07 09:39:00,PAID,35000
TRX-A250107-3660,OUT-A,,2025-01-07 10:45:00,PAID,35000
TRX-A250107-7799,OUT-A,,2025-01-07 21:55:00,PAID,88000
TRX-A250107-7809,OUT-A,CUST-00770,2025-01-07 12:33:00,PAID,116000
TRX-A250107-4308,OUT-A,CUST-00098,2025-01-07 16:14:00,PAID,63000
TRX-A250107-4295,OUT-A,CUST-00506,2025-01-07 15:32:00,PAID,95000
TRX-A250108-3600,OUT-A,,2025-01-08T14:47:00Z,PAID,82000
TRX-A250108-1212,OUT-A,CUST-00583,2025-01-08 17:08:00,PAID,106000
TRX-A250108-6332,OUT-A,CUST-00167,2025-01-08 13:08:00,PAID,55000
TRX-A250108-1535,OUT-A,CUST-00412,2025-01-08T14:48:00Z,PAID,91000
TRX-A250108-5179,OUT-A,CUST-00426,2025-01-08 18:49:00,PAID,42000
TRX-A250108-4076,OUT-A,,2025-01-08 10:35:00,PAID,60000
TRX-A250108-8192,OUT-A,,2025-01-08 12:54:00,PAID,72000
TRX-A250108-7223,OUT-A,CUST-00344,2025-01-08T06:46:00Z,PAID,27000
TRX-A250109-9504,OUT-A,CUST-00631,2025-01-09 10:07:00,PAID,43000
TRX-A250109-2667,OUT-A,,2025-01-09T14:15:00Z,PAID,33000
