kode,kecamatan,kode_kabkot,kabkot
33.74.01,Semarang Tengah,33.74,Kota Semarang
33.74.02,Semarang Utara,33.74,Kota Semarang
33.74.03,Semarang Timur,33.74,Kota Semarang
33.74.04,Gayamsari,33.74,Kota Semarang
33.74.05,Genuk,33.74,Kota Semarang
33.74.06,Pedurungan,33.74,Kota Semarang
33.74.07,Semarang Selatan,33.74,Kota Semarang
33.74.08,Candisari,33.74,Kota Semarang
33.74.09,Gajahmungkur,33.74,Kota Semarang
33.74.10,Tembalang,33.74,Kota Semarang
33.74.11,Banyumanik,33.74,Kota Semarang
33.74.12,Gunungpati,33.74,Kota Semarang
33.74.13,Semarang Barat,33.74,Kota Semarang
33.74.14,Mijen,33.74,Kota Semarang
33.74.15,Ngaliyan,33.74,Kota Semarang
33.74.16,Tugu,33.74,Kota Semarang
