kode,desa,kode_kecamatan,kecamatan,kode_kabkot,kabkot
51.71.01.1001,Serangan,51.71.01,Denpasar Selatan,51.71,Kota Denpasar
51.71.01.1002,Pedungan,51.71.01,Denpasar Selatan,51.71,Kota Denpasar
51.71.01.1003,Sesetan,51.71.01,Denpasar Selatan,51.71,Kota Denpasar
51.71.01.1004,Panjer,51.71.01,Denpasar Selatan,51.71,Kota Denpasar
51.71.01.1005,Renon,51.71.01,Denpasar Selatan,51.71,Kota Denpasar
51.71.01.1006,Sanur,51.71.01,Denpasar Selatan,51.71,Kota Denpasar
51.71.01.2007,Sidakarya,51.71.01,Denpasar Selatan,51.71,Kota Denpasar
51.71.01.2008,Pemogan,51.71.01,Denpasar Selatan,51.71,Kota Denpasar
51.71.01.2009,Sanur Kaja,51.71.01,Denpasar Selatan,51.71,Kota Denpasar
51.71.01.2010,Sanur Kauh,51.71.01,Denpasar Selatan,51.71,Kota Denpasar
51.71.02.1003,Kesiman,51.71.02,Denpasar Timur,51.71,Kota Denpasar
51.71.02.1006,Sumerta,51.71.02,Denpasar Timur,51.71,Kota Denpasar
51.71.02.1010,Dangin Puri,51.71.02,Denpasar Timur,51.71,Kota Denpasar
51.71.02.1014,Penatih,51.71.02,Denpasar Timur,51.71,Kota Denpasar
51.71.02.2001,Dangin Puri Kelod,51.71.02,Denpasar Timur,51.71,Kota Denpasar
51.71.02.2002,Sumerta Kelod,51.71.02,Denpasar Timur,51.71,Kota Denpasar
51.71.02.2004,Kesiman Petilan,51.71.02,Denpasar Timur,51.71,Kota Denpasar
51.71.02.2005,Kesiman Kertalangu,51.71.02,Denpasar Timur,51.71,Kota Denpasar
51.71.02.2007,Sumerta Kaja,51.71.02,Denpasar Timur,51.71,Kota Denpasar
51.71.02.2008,Sumerta Kauh,51.71.02,Denpasar Timur,51.71,Kota Denpasar
51.71.02.2015,Penatih Dangin Puri,51.71.02,Denpasar Timur,51.71,Kota Denpasar
51.71.03.1005,Dauh Puri,51.71.03,Denpasar Barat,51.71,Kota Denpasar
51.71.03.1007,Pemecutan,51.71.03,Denpasar Barat,51.71,Kota Denpasar
51.71.03.1010,Padangsambian,51.71.03,Denpasar Barat,51.71,Kota Denpasar
51.71.03.2001,Padangsambian Kelod,51.71.03,Denpasar Barat,51.71,Kota Denpasar
51.71.03.2002,Pemecutan Kelod,51.71.03,Denpasar Barat,51.71,Kota Denpasar
51.71.03.2003,Dauh Puri Kauh,51.71.03,Denpasar Barat,51.71,Kota Denpasar
51.71.03.2004,Dauh Puri Kelod,51.71.03,Denpasar Barat,51.71,Kota Denpasar
51.71.03.2006,Dauh Puri Kangin,51.71.03,Denpasar Barat,51.71,Kota Denpasar
51.71.03.2008,Tegal Harum,51.71.03,Denpasar Barat,51.71,Kota Denpasar
51.71.03.2009,Tegal Kertha,51.71.03,Denpasar Barat,51.71,Kota Denpasar
51.71.03.2011,Padang Sambian Kaja,51.71.03,Denpasar Barat,51.71,Kota Denpasar
51.71.04.1004,Tonja,51.71.04,Denpasar Utara,51.71,Kota Denpasar
51.71.04.1007,Ubung,51.71.04,Denpasar Utara,51.71,Kota Denpasar
51.71.04.1009,Peguyangan,51.71.04,Denpasar Utara,51.71,Kota Denpasar
51.71.04.2001,Dangin Puri Kangin,51.71.04,Denpasar Utara,51.71,Kota Denpasar
51.71.04.2002,Dangin Puri Kauh,51.71.04,Denpasar Utara,51.71,Kota Denpasar
51.71.04.2003,Dangin Puri Kaja,51.71.04,Denpasar Utara,51.71,Kota Denpasar
51.71.04.2005,Pemecutan Kaja,51.71.04,Denpasar Utara,51.71,Kota Denpasar
51.71.04.2006,Dauh Puri Kaja,51.71.04,Denpasar Utara,51.71,Kota Denpasar
51.71.04.2008,Ubung Kaja,51.71.04,Denpasar Utara,51.71,Kota Denpasar
51.71.04.2010,Peguyangan Kaja,51.71.04,Denpasar Utara,51.71,Kota Denpasar
51.71.04.2011,Peguyangan Kangin,51.71.04,Denpasar Utara,51.71,Kota Denpasar
